Query link,,,,,,,,,,,,,
company_id,company_name,coderepo_qid,coderepo_name,coderepo_stack_name,coderepo_role_type,question_library_source,question_author_company_name,coderepo_task_qid,coderepo_task_name,coderepo_task_type_adj,usage_type,attempt_id,product_rating
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1753763,Code Review: Filter Liked Products,code_review,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1715834,Feature: Persistent Cart Storage Frontend,feature,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1821506,Feature: Utilize the saved address,feature,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1827444,Bugfix: Admin Product Operations,bugfix,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1852807,Bugfix: Inventory Management,bugfix,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1875759,Bugfix: Product Comparison,bugfix,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1777699,Code Review: Order Tracking Status,code_review,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1598028,System Design: Redesigning Frontend,whiteboard,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1539097,System Design: Image Server Scalability,whiteboard,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1840563,Feature: Product Review,feature,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1715803,Issue: Order Details,bugfix,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1875652,Code Review: Data Backup & Rate Limiting,code_review,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1860447,Code Review: Reorder Products,code_review,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1774836,Feature: Edit Product Details Backend,feature,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1715816,Feature: Search Functionality Frontend,feature,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1827217,Feature: Discount Points,feature,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1876099,Bugfix: Exchange Product,bugfix,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1861159,Code Review: Multi-Currency Converter,code_review,interview,7712301,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1852905,Code Review: Product Variant,code_review,interview,7712301,
